,P_charged_centers,N_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta
369,1,0,12.515,0,4,200,80,500,172.6333333,0.228666667,-10.96666667
370,1,0,12.515,0,8,200,80,500,156.5,0.215666667,5.703333333
371,1,0,12.515,0,12,200,80,500,415.4333333,0.464333333,-30.56666667
372,1,0,12.515,0,4,100,20,500,126.4666667,0.141666667,1.823
373,1,0,12.515,0,8,100,20,500,173.0,0.266666667,7.926666667
374,1,0,12.515,0,12,100,20,500,198.5333333,0.402666667,2.883333333
375,1,0,12.515,0,4,100,40,500,185.6666667,0.295,12.1
376,1,0,12.515,0,8,100,40,500,160.6,0.245333333,4.013333333
377,1,0,12.515,0,12,100,40,500,183.8333333,0.354,2.956666667
378,1,0,12.515,0,4,100,60,500,224.0,0.195666667,22.76666667
379,1,0,12.515,0,8,100,60,500,147.6666667,0.245666667,9.33
380,1,0,12.515,0,12,100,60,500,146.4333333,0.24,19.53333333
381,1,0,12.515,0,4,100,80,500,170.8666667,0.246333333,7.633333333
382,1,0,12.515,0,8,100,80,500,136.8333333,0.256666667,7.98
383,1,0,12.515,0,12,100,80,500,290.3,0.270666667,-25.13333333
384,1,0,12.515,0,4,50,20,500,122.2,0.186333333,18.9
385,1,0,12.515,0,8,50,20,500,176.0666667,0.496333333,21.16666667
386,1,0,12.515,0,12,50,20,500,186.9666667,0.243,2.883333333
387,1,0,12.515,0,4,50,40,500,153.4666667,0.229666667,17.63333333
388,1,0,12.515,0,8,50,40,500,204.5333333,0.348333333,0.663333333
389,1,0,12.515,0,12,50,40,500,177.8333333,0.331,3.57
390,1,0,12.515,0,4,50,60,500,193.0,0.257666667,24.03333333
391,1,0,12.515,0,8,50,60,500,155.2333333,0.232666667,9.956666667
392,1,0,12.515,0,12,50,60,500,133.8333333,0.272,18.63333333
393,1,0,12.515,0,4,50,80,500,204.0333333,0.267,6.13
394,1,0,12.515,0,8,50,80,500,118.1,0.251,9.33
395,1,0,12.515,0,12,50,80,500,1330.666667,0.467333333,-27.3
396,1,0,12.515,0,4,10,20,500,105.7,0.192333333,44.06666667
397,1,0,12.515,0,8,10,20,500,131.2333333,0.203666667,25.86666667
398,1,0,12.515,0,12,10,20,500,241.2,0.458333333,1.388333333
399,1,0,12.515,0,4,10,40,500,204.4333333,0.278666667,26.16666667
400,1,0,12.515,0,8,10,40,500,135.9,0.314333333,27.06666667
401,1,0,12.515,0,12,10,40,500,199.2666667,0.421,22.36666667
402,1,0,12.515,0,4,10,60,500,157.6333333,0.228333333,30.7
403,1,0,12.515,0,8,10,60,500,133.6333333,0.194,15.33333333
404,1,0,12.515,0,12,10,60,500,139.3666667,0.264333333,20.86666667
405,1,0,12.515,0,4,10,80,500,138.7666667,0.140333333,15.56666667
406,1,0,12.515,0,8,10,80,500,143.8333333,0.207,18.4
408,1,0,12.515,0,4,1,20,500,137.3,0.147333333,19.9
409,1,0,12.515,0,8,1,20,500,899.4,0.383333333,16.3
410,1,0,12.515,0,12,1,20,500,158.2333333,0.258666667,12.23333333
411,1,0,12.515,0,4,1,40,500,214.0333333,0.282,5.41
412,1,0,12.515,0,8,1,40,500,173.5,0.248333333,22.13333333
413,1,0,12.515,0,12,1,40,500,217.2,0.522333333,24.76666667
414,1,0,12.515,0,4,1,60,500,218.4,0.214,22.4
415,1,0,12.515,0,8,1,60,500,152.1333333,0.246333333,23.5
416,1,0,12.515,0,12,1,60,500,101.8666667,0.231333333,21.46666667
417,1,0,12.515,0,4,1,80,500,200.6,0.364,12.93333333
418,1,0,12.515,0,8,1,80,500,133.7333333,0.264333333,31.5
420,1,0,12.515,0,4,200,20,100,2056.666667,0.388333333,-27.6
421,1,0,12.515,0,8,200,20,100,576.1666667,0.390666667,-2.563333333
422,1,0,12.515,0,12,200,20,100,453.7333333,0.368333333,1.926666667
423,1,0,12.515,0,4,200,40,100,157.1,0.253333333,-3.873333333
425,1,0,12.515,0,12,200,40,100,154.0333333,0.321666667,-2.93
426,1,0,12.515,0,4,200,60,100,187.9,0.252666667,-3.706666667
427,1,0,12.515,0,8,200,60,100,151.0666667,0.26,-1.271
428,1,0,12.515,0,12,200,60,100,165.1666667,0.227,4.56
429,1,0,12.515,0,4,200,80,100,152.2,0.155,1.253333333
430,1,0,12.515,0,8,200,80,100,143.4666667,0.167666667,4.306666667
431,1,0,12.515,0,12,200,80,100,119.9666667,0.237,3.433333333
433,1,0,12.515,0,8,100,20,100,115.6666667,0.283333333,3.27
434,1,0,12.515,0,12,100,20,100,388.5666667,0.348666667,-0.77
435,1,0,12.515,0,4,100,40,100,176.5,0.311333333,-3.76
436,1,0,12.515,0,8,100,40,100,214.0333333,0.314666667,-3.076666667
437,1,0,12.515,0,12,100,40,100,199.2,0.431,-2.876666667
438,1,0,12.515,0,4,100,60,100,182.5333333,0.252,-2.633333333
439,1,0,12.515,0,8,100,60,100,155.6333333,0.269,-2.463333333
440,1,0,12.515,0,12,100,60,100,181.7,0.266666667,2.173333333
441,1,0,12.515,0,4,100,80,100,175.7,0.143666667,-1.211333333
442,1,0,12.515,0,8,100,80,100,162.9666667,0.154333333,2.933333333
443,1,0,12.515,0,12,100,80,100,128.4666667,0.179,3.573333333
445,1,0,12.515,0,8,50,20,100,139.2,0.262333333,1.826666667
446,1,0,12.515,0,12,50,20,100,307.7,0.539333333,1.6
447,1,0,12.515,0,4,50,40,100,162.2333333,0.378,-3.646666667
448,1,0,12.515,0,8,50,40,100,223.1333333,0.318,-2.73
450,1,0,12.515,0,4,50,60,100,207.0333333,0.238333333,-5.89
451,1,0,12.515,0,8,50,60,100,154.4666667,0.284666667,-0.982333333
452,1,0,12.515,0,12,50,60,100,170.7333333,0.238333333,3.386666667
453,1,0,12.515,0,4,50,80,100,149.4333333,0.106333333,2.24
454,1,0,12.515,0,8,50,80,100,171.1333333,0.235,1.28
455,1,0,12.515,0,12,50,80,100,163.5333333,0.214,2.923333333
456,1,0,12.515,0,4,10,20,100,1760.0,0.536,-30.76666667
457,1,0,12.515,0,8,10,20,100,171.1666667,0.473666667,3.026666667
459,1,0,12.515,0,4,10,40,100,166.5666667,0.488666667,-2.246666667
460,1,0,12.515,0,8,10,40,100,146.1333333,0.331,-2.403333333
461,1,0,12.515,0,12,10,40,100,231.5,0.267666667,-2.746666667
462,1,0,12.515,0,4,10,60,100,161.8333333,0.254333333,-1.385333333
463,1,0,12.515,0,8,10,60,100,137.9,0.27,-0.514
464,1,0,12.515,0,12,10,60,100,150.0,0.260666667,2.373333333
465,1,0,12.515,0,4,10,80,100,169.0,0.172333333,-0.684
466,1,0,12.515,0,8,10,80,100,125.6,0.137,2.273333333
467,1,0,12.515,0,12,10,80,100,136.8666667,0.203,4.91
469,1,0,12.515,0,8,1,20,100,130.5333333,0.249666667,4.226666667
470,1,0,12.515,0,12,1,20,100,401.8333333,0.549333333,6.786666667
471,1,0,12.515,0,4,1,40,100,161.9,0.303,-3.153333333
473,1,0,12.515,0,12,1,40,100,354.4666667,0.356333333,-1.543333333
474,1,0,12.515,0,4,1,60,100,202.1,0.265333333,-2.55
475,1,0,12.515,0,8,1,60,100,139.7,0.281666667,0.63
476,1,0,12.515,0,12,1,60,100,122.8,0.189333333,6.336666667
477,1,0,12.515,0,4,1,80,100,152.7666667,0.206666667,6.34
478,1,0,12.515,0,8,1,80,100,134.0,0.192,12.86666667
479,1,0,12.515,0,12,1,80,100,194.4666667,0.301666667,6.843333333
481,1,0,12.515,0,8,200,20,10,151.5333333,0.402,-2.966666667
483,1,0,12.515,0,4,200,40,10,99.71,0.181666667,-1.186666667
484,1,0,12.515,0,8,200,40,10,247.2666667,0.368666667,-3.813333333
485,1,0,12.515,0,12,200,40,10,400.6,0.535333333,-5.33
487,1,0,12.515,0,8,200,60,10,297.0,0.258333333,-9.57
488,1,0,12.515,0,12,200,60,10,134.1333333,0.257,-1.092
489,1,0,12.515,0,4,200,80,10,165.4666667,0.175,-1.492333333
490,1,0,12.515,0,8,200,80,10,110.9666667,0.174666667,-1.123
491,1,0,12.515,0,12,200,80,10,128.5333333,0.182,-0.810666667
493,1,0,12.515,0,8,100,20,10,176.6666667,0.532666667,-1.316666667
495,1,0,12.515,0,4,100,40,10,116.2666667,0.275666667,-1.833333333
496,1,0,12.515,0,8,100,40,10,285.1333333,0.367666667,-6.416666667
499,1,0,12.515,0,8,100,60,10,293.6333333,0.427333333,-9.726666667
500,1,0,12.515,0,12,100,60,10,162.9333333,0.248333333,-1.077
501,1,0,12.515,0,4,100,80,10,170.3,0.095333333,-2.533333333
502,1,0,12.515,0,8,100,80,10,136.5,0.184666667,-0.168
503,1,0,12.515,0,12,100,80,10,108.9333333,0.175,-0.043
504,1,0,12.515,0,4,50,20,10,145.8666667,0.455333333,-1.640333333
507,1,0,12.515,0,4,50,40,10,133.4,0.228666667,-0.863666667
508,1,0,12.515,0,8,50,40,10,282.5,0.323,-7.106666667
510,1,0,12.515,0,4,50,60,10,4622.333333,0.437,-22.2
511,1,0,12.515,0,8,50,60,10,296.5666667,0.253,-14.66666667
512,1,0,12.515,0,12,50,60,10,138.1666667,0.219666667,-1.203333333
513,1,0,12.515,0,4,50,80,10,159.1333333,0.153,-2.56
514,1,0,12.515,0,8,50,80,10,117.1333333,0.218666667,-0.0463
515,1,0,12.515,0,12,50,80,10,118.5666667,0.198666667,-0.131666667
516,1,0,12.515,0,4,10,20,10,122.3666667,0.275666667,-1.79
518,1,0,12.515,0,12,10,20,10,199.2,0.498,-1.776666667
519,1,0,12.515,0,4,10,40,10,119.1333333,0.235666667,-0.88
520,1,0,12.515,0,8,10,40,10,393.5333333,0.312,-13.16666667
522,1,0,12.515,0,4,10,60,10,2933.333333,0.479,-19.56666667
523,1,0,12.515,0,8,10,60,10,309.2,0.357333333,-9.383333333
524,1,0,12.515,0,12,10,60,10,135.1,0.243666667,-1.427
525,1,0,12.515,0,4,10,80,10,178.8,0.187666667,-2.843333333
526,1,0,12.515,0,8,10,80,10,114.0333333,0.199666667,0.044333333
527,1,0,12.515,0,12,10,80,10,99.51,0.233666667,-0.3501
528,1,0,12.515,0,4,1,20,10,142.0666667,0.393,-2.13
529,1,0,12.515,0,8,1,20,10,155.0333333,0.426,-0.929
530,1,0,12.515,0,12,1,20,10,123.6666667,0.345,-0.883333333
531,1,0,12.515,0,4,1,40,10,108.2666667,0.213333333,-1.0292
532,1,0,12.515,0,8,1,40,10,247.7,0.358333333,-6.423333333
534,1,0,12.515,0,4,1,60,10,3091.0,0.589666667,-20.7
535,1,0,12.515,0,8,1,60,10,397.4666667,0.533,-4.423333333
536,1,0,12.515,0,12,1,60,10,117.0333333,0.272333333,-1.237
537,1,0,12.515,0,4,1,80,10,137.2333333,0.148333333,-0.065666667
538,1,0,12.515,0,8,1,80,10,104.4666667,0.211,2.526666667
539,1,0,12.515,0,12,1,80,10,99.66666667,0.235333333,1.341666667
540,1,1,6.12,0,4,200,20,500,445.6,0.224,-20.0
541,1,1,6.12,0,8,200,20,500,388.5666667,0.160666667,-2.833333333
542,1,1,6.12,0,12,200,20,500,168.4666667,0.232333333,-0.537666667
543,1,1,6.12,0,4,200,40,500,206.4666667,0.204666667,-0.144176667
544,1,1,6.12,0,8,200,40,500,266.9333333,0.448,-1.186333333
545,1,1,6.12,0,12,200,40,500,295.5333333,0.357,-1.356666667
546,1,1,6.12,0,4,200,60,500,213.1,0.208333333,-2.03
547,1,1,6.12,0,8,200,60,500,226.5333333,0.251333333,0.105433333
548,1,1,6.12,0,12,200,60,500,191.9333333,0.201333333,0.3688
549,1,1,6.12,0,4,200,80,500,204.2,0.222333333,-2.123333333
550,1,1,6.12,0,8,200,80,500,153.2,0.214666667,1.007666667
551,1,1,6.12,0,12,200,80,500,145.8666667,0.251,-0.358366667
552,1,1,6.12,0,4,100,20,500,380.3333333,0.369666667,-7.156666667
553,1,1,6.12,0,8,100,20,500,300.7,0.191666667,-7.346666667
554,1,1,6.12,0,12,100,20,500,323.3666667,0.139333333,-1.173666667
555,1,1,6.12,0,4,100,40,500,197.5333333,0.27,-0.223666667
556,1,1,6.12,0,8,100,40,500,266.7,0.469333333,-1.3988
557,1,1,6.12,0,12,100,40,500,260.9333333,0.451,-1.876666667
558,1,1,6.12,0,4,100,60,500,236.7333333,0.212,1.45
559,1,1,6.12,0,8,100,60,500,169.5666667,0.271,2.546666667
560,1,1,6.12,0,12,100,60,500,227.0666667,0.248666667,2.25
561,1,1,6.12,0,4,100,80,500,198.8,0.230666667,-5.656666667
562,1,1,6.12,0,8,100,80,500,148.5333333,0.221333333,-0.2858
563,1,1,6.12,0,12,100,80,500,134.8333333,0.301666667,3.186666667
564,1,1,6.12,0,4,50,20,500,160.3666667,0.219333333,3.713333333
565,1,1,6.12,0,8,50,20,500,394.7333333,0.162333333,-4.73
566,1,1,6.12,0,12,50,20,500,294.7666667,0.212333333,-2.64
567,1,1,6.12,0,4,50,40,500,174.7,0.195333333,1.836666667
568,1,1,6.12,0,8,50,40,500,308.0666667,0.109,5.443333333
569,1,1,6.12,0,12,50,40,500,458.9333333,0.305333333,-1.491333333
570,1,1,6.12,0,4,50,60,500,191.4333333,0.245666667,-1.055666667
571,1,1,6.12,0,8,50,60,500,201.9333333,0.207333333,4.203333333
572,1,1,6.12,0,12,50,60,500,211.8333333,0.225,0.894
573,1,1,6.12,0,4,50,80,500,190.4333333,0.222666667,-0.884
574,1,1,6.12,0,8,50,80,500,190.6333333,0.218,-0.851
575,1,1,6.12,0,12,50,80,500,128.8,0.305666667,2.053333333
576,1,1,6.12,0,4,10,20,500,595.8333333,0.223,-15.63333333
577,1,1,6.12,0,8,10,20,500,377.5666667,0.193666667,-3.236666667
578,1,1,6.12,0,12,10,20,500,288.2333333,0.216666667,-2.386666667
579,1,1,6.12,0,4,10,40,500,217.5333333,0.217,-1.123333333
580,1,1,6.12,0,8,10,40,500,218.9666667,0.235,0.326666667
581,1,1,6.12,0,12,10,40,500,316.5666667,0.160666667,6.206666667
582,1,1,6.12,0,4,10,60,500,273.8,0.336,-2.076666667
583,1,1,6.12,0,8,10,60,500,146.0,0.277666667,1.556666667
584,1,1,6.12,0,12,10,60,500,181.1666667,0.254,-0.4172
585,1,1,6.12,0,4,10,80,500,275.1,0.284,-2.526666667
586,1,1,6.12,0,8,10,80,500,160.8666667,0.203666667,-0.499666667
587,1,1,6.12,0,12,10,80,500,155.4,0.298333333,-0.839666667
588,1,1,6.12,0,4,1,20,500,720.4,0.440666667,-2.03
590,1,1,6.12,0,12,1,20,500,343.4,0.394333333,0.513666667
591,1,1,6.12,0,4,1,40,500,221.6333333,0.178333333,0.588
592,1,1,6.12,0,8,1,40,500,288.5,0.270666667,1.082333333
593,1,1,6.12,0,12,1,40,500,253.8,0.277666667,1.406666667
594,1,1,6.12,0,4,1,60,500,289.6666667,0.285,0.446333333
595,1,1,6.12,0,8,1,60,500,132.6,0.250333333,5.146666667
596,1,1,6.12,0,12,1,60,500,241.5333333,0.276666667,2.226666667
597,1,1,6.12,0,4,1,80,500,269.8333333,0.182,-8.26
598,1,1,6.12,0,8,1,80,500,210.1666667,0.217,-1.306
599,1,1,6.12,0,12,1,80,500,200.7333333,0.231,1.663666667
600,1,1,6.12,0,4,200,20,100,665.4,0.428666667,-4.956666667
601,1,1,6.12,0,8,200,20,100,461.8666667,0.204666667,-3.503333333
602,1,1,6.12,0,12,200,20,100,426.1,0.213666667,-2.953333333
603,1,1,6.12,0,4,200,40,100,278.2,0.298333333,-3.166666667
604,1,1,6.12,0,8,200,40,100,185.7333333,0.289333333,2.283333333
605,1,1,6.12,0,12,200,40,100,244.9,0.259,2.306666667
606,1,1,6.12,0,4,200,60,100,217.0666667,0.225333333,-1.85
607,1,1,6.12,0,8,200,60,100,222.0666667,0.144666667,0.132760333
608,1,1,6.12,0,12,200,60,100,187.0666667,0.212333333,-0.077333333
609,1,1,6.12,0,4,200,80,100,186.3666667,0.218,-4.35
610,1,1,6.12,0,8,200,80,100,208.6666667,0.198333333,-1.425333333
611,1,1,6.12,0,12,200,80,100,200.6333333,0.218,-0.192333333
612,1,1,6.12,0,4,100,20,100,411.7333333,0.436333333,-4.316666667
613,1,1,6.12,0,8,100,20,100,570.8666667,0.539333333,-3.67
614,1,1,6.12,0,12,100,20,100,219.3333333,0.198666667,2.13
615,1,1,6.12,0,4,100,40,100,265.8666667,0.319666667,-2.493333333
616,1,1,6.12,0,8,100,40,100,174.9,0.285,-0.763333333
617,1,1,6.12,0,12,100,40,100,221.6,0.295666667,3.32
618,1,1,6.12,0,4,100,60,100,180.1666667,0.231666667,0.096
619,1,1,6.12,0,8,100,60,100,213.7666667,0.231666667,-1.543333333
620,1,1,6.12,0,12,100,60,100,176.4333333,0.280666667,-0.458
621,1,1,6.12,0,4,100,80,100,180.8666667,0.208333333,-3.533333333
622,1,1,6.12,0,8,100,80,100,171.9333333,0.230666667,-2.693333333
623,1,1,6.12,0,12,100,80,100,192.2,0.185333333,-1.073
624,1,1,6.12,0,4,50,20,100,391.5666667,0.541,-4.583333333
626,1,1,6.12,0,12,50,20,100,237.1333333,0.195333333,-0.988333333
627,1,1,6.12,0,4,50,40,100,194.0333333,0.253,-0.591633333
628,1,1,6.12,0,8,50,40,100,170.3,0.291333333,-1.048
629,1,1,6.12,0,12,50,40,100,198.4,0.239666667,1.671666667
630,1,1,6.12,0,4,50,60,100,174.6333333,0.245333333,0.497666667
631,1,1,6.12,0,8,50,60,100,223.9666667,0.187,1.216666667
632,1,1,6.12,0,12,50,60,100,202.3,0.240333333,-0.367833333
633,1,1,6.12,0,4,50,80,100,233.2666667,0.174,-2.813333333
634,1,1,6.12,0,8,50,80,100,167.0333333,0.204,0.119166667
635,1,1,6.12,0,12,50,80,100,190.2333333,0.240666667,-1.521333333
636,1,1,6.12,0,4,10,20,100,264.9,0.459,-3.486666667
637,1,1,6.12,0,8,10,20,100,216.4,0.234333333,1.181
638,1,1,6.12,0,12,10,20,100,314.3333333,0.333,-1.583333333
639,1,1,6.12,0,4,10,40,100,207.4,0.21,-1.696666667
640,1,1,6.12,0,8,10,40,100,180.6333333,0.302666667,1.110333333
641,1,1,6.12,0,12,10,40,100,212.9666667,0.360333333,-0.2816
642,1,1,6.12,0,4,10,60,100,253.3,0.169,-0.997666667
643,1,1,6.12,0,8,10,60,100,170.7666667,0.234666667,1.956666667
644,1,1,6.12,0,12,10,60,100,158.8333333,0.296333333,0.975666667
645,1,1,6.12,0,4,10,80,100,188.7333333,0.239666667,-4.646666667
646,1,1,6.12,0,8,10,80,100,206.5333333,0.225333333,-1.383
647,1,1,6.12,0,12,10,80,100,182.9,0.292,0.969
649,1,1,6.12,0,8,1,20,100,254.7,0.583333333,-4.996666667
650,1,1,6.12,0,12,1,20,100,308.6333333,0.453,1.496666667
651,1,1,6.12,0,4,1,40,100,431.1,0.499333333,-12.68333333
652,1,1,6.12,0,8,1,40,100,161.8333333,0.314666667,-0.225866667
653,1,1,6.12,0,12,1,40,100,234.1666667,0.19,1.199666667
654,1,1,6.12,0,4,1,60,100,227.1333333,0.237666667,1.106666667
655,1,1,6.12,0,8,1,60,100,191.0333333,0.258,1.159666667
656,1,1,6.12,0,12,1,60,100,173.0666667,0.277666667,0.740633333
657,1,1,6.12,0,4,1,80,100,385.4666667,0.314,-5.563333333
658,1,1,6.12,0,8,1,80,100,235.9666667,0.202666667,-1.49
659,1,1,6.12,0,12,1,80,100,221.4,0.292,-0.068
661,1,1,6.12,0,8,200,20,10,164.9,0.532666667,-4.78
662,1,1,6.12,0,12,200,20,10,204.7333333,0.528,-3.8
663,1,1,6.12,0,4,200,40,10,151.1,0.245666667,-8.67
664,1,1,6.12,0,8,200,40,10,219.6333333,0.576,-3.373333333
665,1,1,6.12,0,12,200,40,10,145.9333333,0.341666667,-1.295666667
666,1,1,6.12,0,4,200,60,10,127.0666667,0.191,-0.760666667
667,1,1,6.12,0,8,200,60,10,127.8,0.215333333,0.013
668,1,1,6.12,0,12,200,60,10,82.80666667,0.227333333,-1.82
669,1,1,6.12,0,4,200,80,10,104.6,0.148,-4.656666667
670,1,1,6.12,0,8,200,80,10,101.8666667,0.164,-2.406666667
671,1,1,6.12,0,12,200,80,10,92.93333333,0.211333333,-2.843333333
672,1,1,6.12,0,4,100,20,10,100.2433333,0.198,-9.143333333
673,1,1,6.12,0,8,100,20,10,142.6,0.251333333,-2.086666667
675,1,1,6.12,0,4,100,40,10,156.8,0.255,-9.543333333
676,1,1,6.12,0,8,100,40,10,122.3333333,0.273,-1.101
677,1,1,6.12,0,12,100,40,10,146.9333333,0.334333333,-0.806
678,1,1,6.12,0,4,100,60,10,119.6333333,0.184,-0.956333333
679,1,1,6.12,0,8,100,60,10,138.6333333,0.232666667,-1.070666667
680,1,1,6.12,0,12,100,60,10,92.68333333,0.249333333,-1.873333333
681,1,1,6.12,0,4,100,80,10,107.7666667,0.171333333,-7.5
682,1,1,6.12,0,8,100,80,10,96.23333333,0.183,-3.133333333
683,1,1,6.12,0,12,100,80,10,112.1666667,0.211333333,-1.543333333
684,1,1,6.12,0,4,50,20,10,131.9333333,0.382,-8.303333333
685,1,1,6.12,0,8,50,20,10,130.2,0.408333333,-1.67
686,1,1,6.12,0,12,50,20,10,611.0333333,0.368666667,-4.006666667
687,1,1,6.12,0,4,50,40,10,149.6666667,0.191666667,-5.433333333
688,1,1,6.12,0,8,50,40,10,133.9666667,0.316333333,-0.782666667
689,1,1,6.12,0,12,50,40,10,138.3,0.326,-0.808
690,1,1,6.12,0,4,50,60,10,134.9666667,0.216333333,-2.59
691,1,1,6.12,0,8,50,60,10,140.6333333,0.252333333,-0.939333333
692,1,1,6.12,0,12,50,60,10,97.09,0.251,-1.427333333
693,1,1,6.12,0,4,50,80,10,104.5666667,0.164333333,-4.286666667
694,1,1,6.12,0,8,50,80,10,110.4,0.162333333,-3.123333333
695,1,1,6.12,0,12,50,80,10,95.28,0.202666667,-2.5
696,1,1,6.12,0,4,10,20,10,115.9666667,0.283666667,-5.833333333
697,1,1,6.12,0,8,10,20,10,130.5666667,0.339666667,-1.171666667
699,1,1,6.12,0,4,10,40,10,129.2333333,0.187,-8.426666667
700,1,1,6.12,0,8,10,40,10,121.4666667,0.242333333,-0.833
701,1,1,6.12,0,12,10,40,10,169.4666667,0.346,-0.889
702,1,1,6.12,0,4,10,60,10,134.3333333,0.149666667,-3.496666667
703,1,1,6.12,0,8,10,60,10,114.1666667,0.231666667,-1.372
704,1,1,6.12,0,12,10,60,10,92.96333333,0.255666667,-2.23
705,1,1,6.12,0,4,10,80,10,118.9,0.206333333,-7.86
706,1,1,6.12,0,8,10,80,10,94.82333333,0.199666667,-1.491
707,1,1,6.12,0,12,10,80,10,95.42666667,0.200333333,-2.646666667
709,1,1,6.12,0,8,1,20,10,156.3,0.287,-9.796666667
710,1,1,6.12,0,12,1,20,10,139.8,0.211666667,-6.03
711,1,1,6.12,0,4,1,40,10,144.2333333,0.199666667,-7.93
712,1,1,6.12,0,8,1,40,10,131.1,0.226666667,-1.069666667
713,1,1,6.12,0,12,1,40,10,150.6666667,0.35,-1.002
714,1,1,6.12,0,4,1,60,10,151.8666667,0.188666667,-6.88
715,1,1,6.12,0,8,1,60,10,143.0666667,0.263,-0.741333333
716,1,1,6.12,0,12,1,60,10,122.1,0.250333333,-1.561
717,1,1,6.12,0,4,1,80,10,149.8,0.23,-13.63333333
718,1,1,6.12,0,8,1,80,10,152.3333333,0.243666667,-3.446666667
719,1,1,6.12,0,12,1,80,10,156.8,0.304,-1.356666667
